timesteps,ep_return,ep_len,sec_mean,power_mean,perf_mean,qos_violation_rate,switches,scale_events,frac_time_oai,mean_k
188240,-2626.890589222312,2353,0.007855939408415938,0.8782453184881668,0.9522959436196953,0.46833829154271145,303,101,0.46833829154271145,1.5453720508166968
188240,-2555.2398429512978,2353,0.007896672812287718,0.8582928202732847,0.9546010238132323,0.4190395240118997,250,97,0.4190395240118997,1.5050709939148073
188240,-2592.6575189083815,2353,0.00786843653404163,0.8822259945510754,0.9533458463546828,0.4466638334041649,287,97,0.4466638334041649,1.5242626070409133
188240,-2672.247121915221,2353,0.008078927264403974,0.897046595191226,0.9527262953104894,0.45261368465788354,302,92,0.45261368465788354,1.5230046948356808
197652,-2550.387162834406,2353,0.0077298370523823925,0.8481788642853308,0.953595790567167,0.4424139396515087,265,94,0.4424139396515087,1.5072046109510087
197652,-2639.619745567441,2353,0.007814695702161588,0.87673125145945,0.951739338373459,0.4785380365490863,284,116,0.4785380365490863,1.5097690941385435
197652,-2653.0938778072596,2353,0.007844156450863105,0.8924013781030787,0.9514535641700624,0.4861878453038674,293,110,0.4861878453038674,1.5576923076923077
197652,-2536.7363305985928,2353,0.007840765981914778,0.8503983099309627,0.9548020366907018,0.41478963025924354,268,89,0.41478963025924354,1.5440573770491803
207064,-2546.876180693507,2353,0.007964850120963604,0.8476339064402323,0.9548764686051501,0.42031449213769656,250,94,0.42031449213769656,1.5308392315470172
207064,-2532.7813957184553,2353,0.007707543521171576,0.8421720059131795,0.9540294953928671,0.4313642158946026,248,98,0.4313642158946026,1.5014778325123153
207064,-2502.745391920209,2353,0.0077227380479869216,0.8417461603132654,0.954906128210764,0.4152146196345091,254,95,0.4152146196345091,1.5046059365404298
207064,-2530.5563453286886,2353,0.0076230183578995985,0.8432850656081806,0.9533458558286042,0.45048873778155546,259,105,0.45048873778155546,1.509433962264151
216476,-2457.0488311499357,2353,0.0075151422140681285,0.8359138428328953,0.9550933318344826,0.407564810879728,217,109,0.407564810879728,1.489051094890511
216476,-2496.4269498586655,2353,0.007663514827401051,0.8394998834075392,0.9545088451414274,0.4275393115172121,250,100,0.4275393115172121,1.52882703777336
216476,-2434.3496408611536,2353,0.007791353730307524,0.8287310978224366,0.9571289690159961,0.37144071398215045,234,74,0.37144071398215045,1.4839816933638443
216476,-2459.2963667064905,2353,0.007579412496006738,0.8305934564488724,0.9550233962836795,0.416489587760306,220,108,0.416489587760306,1.5122448979591836
225888,-2450.8017976284027,2353,0.0077263879950114365,0.8312705315481689,0.9564142902253082,0.3833404164895878,235,82,0.3833404164895878,1.466740576496674
225888,-2437.4937238246202,2353,0.007652064251374648,0.8226155203502329,0.9561043141803182,0.39396515087122824,229,90,0.39396515087122824,1.5242718446601942
225888,-2410.7001234143972,2353,0.007498192028031687,0.8196240365378562,0.9558884256249836,0.39949001274968127,246,89,0.39949001274968127,1.5191489361702128
225888,-2471.7137296646833,2353,0.00788986629686135,0.8379168569712349,0.9568438301732881,0.37441563960900975,262,68,0.37441563960900975,1.522133938706016
235300,-2461.0143886208534,2353,0.0076007424580935455,0.8268936636900831,0.9551568330980796,0.41266468338291545,229,99,0.41266468338291545,1.5066941297631309
235300,-2448.1763384640217,2353,0.007561867107768633,0.8217229876577018,0.9553061171485878,0.4096897577560561,229,99,0.4096897577560561,1.5145228215767634
235300,-2495.8004577308893,2353,0.007841240868906071,0.8330994809986022,0.9558123394979906,0.3960900977475563,242,91,0.3960900977475563,1.5160944206008584
235300,-2482.1157741993666,2353,0.007715507171649519,0.8389951028927204,0.955408833582149,0.4050148746281343,237,94,0.4050148746281343,1.4679958027282267
244712,-2576.788863301277,2353,0.007866749924097386,0.8494297548450919,0.9535180060244397,0.4462388440288993,243,106,0.4462388440288993,1.4980952380952381
244712,-2502.0999594181776,2353,0.007728697630716112,0.8269111740553678,0.9546197791379206,0.4266893327666808,223,116,0.4266893327666808,1.50398406374502
244712,-2409.135300785303,2353,0.007565601667358797,0.8063906981648155,0.9563370045326742,0.38929026774330644,215,92,0.38929026774330644,1.494541484716157
244712,-2533.043895021081,2353,0.00792624552912703,0.862109347019001,0.9552953475797323,0.4071398215044624,239,92,0.4071398215044624,1.524008350730689
254124,-2440.219814091921,2353,0.007754487307737093,0.8092694572322277,0.9567141576214542,0.3795155121121972,228,79,0.3795155121121972,1.4669652855543114
254124,-2449.7649023234844,2353,0.007470131694846634,0.8122213829896119,0.9543736346518796,0.43433914152146197,209,121,0.43433914152146197,1.4892367906066537
254124,-2519.813070371747,2353,0.007744185287353796,0.8355377330407152,0.9542212524264101,0.43433914152146197,213,120,0.43433914152146197,1.5
254124,-2465.626350104809,2353,0.007595000762050703,0.8171433527267997,0.9550207298054272,0.41478963025924354,220,105,0.41478963025924354,1.4866803278688525
263536,-2365.809231877327,2353,0.007510198609077415,0.8112279696004522,0.9571640552534126,0.37399065023374417,193,101,0.37399065023374417,1.5295454545454545
263536,-2492.0096012204885,2353,0.0076768354501767595,0.8334239289652171,0.9546944908116961,0.4237144071398215,243,94,0.4237144071398215,1.5005015045135406
263536,-2437.7604636251926,2353,0.007517497733588019,0.8096250658130524,0.9552098428296172,0.41266468338291545,208,112,0.41266468338291545,1.4933058702368691
263536,-2443.0801734775305,2353,0.007770432878279314,0.822378833218934,0.9566767116429904,0.3820654483637909,226,91,0.3820654483637909,1.5061179087875418
272948,-2367.8003935813904,2353,0.007442970815133675,0.7974902801548123,0.9566647889408415,0.38461538461538464,213,92,0.38461538461538464,1.4906077348066298
272948,-2305.923386901617,2353,0.007349511043572719,0.7751825829794495,0.9576517046384492,0.3671908202294943,176,104,0.3671908202294943,1.4675925925925926
272948,-2472.1215790957212,2353,0.0077811905643611805,0.8291639130367809,0.95589268924427,0.3982150446238844,223,96,0.3982150446238844,1.4855923159018143
272948,-2395.863529920578,2353,0.007593618435387394,0.8041017924629775,0.9568640149455349,0.37909052273693156,223,89,0.37909052273693156,1.4955156950672646
282360,-2471.293002486229,2353,0.007671886868913421,0.8315531166624223,0.9552768063302046,0.4113897152571186,252,90,0.4113897152571186,1.5113636363636365
282360,-2479.7330307513475,2353,0.007706615889353517,0.8379992696765732,0.9551556515936845,0.4152146196345091,224,102,0.4152146196345091,1.5097236438075743
282360,-2482.6433916836977,2353,0.007752992794403701,0.8304976934176833,0.9552590892611794,0.4152146196345091,243,92,0.4152146196345091,1.5496417604913
282360,-2357.6537530124187,2353,0.007895089393419076,0.7996118630544206,0.9599065589641339,0.31321716957076073,170,75,0.31321716957076073,1.5128900949796473
291772,-2394.617130175233,2353,0.00767024921366523,0.8018734078178292,0.9572852220729823,0.3718657033574161,216,91,0.3718657033574161,1.528
291772,-2383.3430398851633,2353,0.007625738440732176,0.8064676660757798,0.9576127838946584,0.36039099022524435,229,75,0.36039099022524435,1.4858490566037736
291772,-2461.601588025689,2353,0.007843798474094815,0.8280777630530364,0.9567409581799635,0.3778155546111347,237,84,0.3778155546111347,1.5388076490438696
291772,-2471.842640504241,2353,0.007854955434600106,0.8302787651521218,0.9566161619872171,0.378665533361666,231,83,0.378665533361666,1.5252525252525253
301184,-2466.003646582365,2353,0.007820581652917113,0.8336509773693741,0.9564777153428949,0.38376540586485336,244,83,0.38376540586485336,1.512735326688815
301184,-2425.5353328585625,2353,0.007844026357507831,0.8122656906456629,0.9575298741124206,0.3659158521036974,250,70,0.3659158521036974,1.4970963995354238
301184,-2432.9497330337763,2353,0.0076544455552803765,0.8217838815917272,0.9561563645126563,0.39524011899702505,247,89,0.39524011899702505,1.543010752688172
301184,-2503.7250038981438,2353,0.0077791710270298,0.8411143366904447,0.9550408386596456,0.41563960900977476,251,95,0.41563960900977476,1.5
