step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation,type_switch,scale_event,cooldown_blocked
248,110.403,100.155,DPDK,0.82003,0.205008,0.974996,0.00742761,0,0,0,0
249,97.3126,92.4235,DPDK,0.819768,0.204942,0.974881,0.00842407,0,0,0,0
250,86.719,85.3894,DPDK,0.819609,0.204902,0.974764,0.00945131,0,0,0,0
251,83.897,78.8332,DPDK,0.819578,0.204895,0.974726,0.00976886,0,0,0,0
252,73.6291,73.1232,2xOAI,0.617067,0.154267,0.931674,0.00838076,0,1,0,0
253,70.74,68.5402,2xOAI,0.588345,0.147086,0.930804,0.00831701,0,0,0,0
254,68.293,65.3328,2xOAI,0.552513,0.138128,0.930034,0.00809034,0,0,0,0
255,68.8513,62.9699,2xOAI,0.562212,0.140553,0.930209,0.00816559,0,0,0,0
256,62.6963,60.5092,2xOAI,0.469266,0.117317,0.928177,0.00748475,0,0,0,0
257,50.4076,57.9355,1xOAI,0.458678,0.114669,0.934794,0.00909939,0,0,1,0
258,43.2897,56.5181,1xOAI,0.363359,0.09084,0.933706,0.00839368,0,0,0,0
259,53.2771,54.7094,1xOAI,0.489884,0.122471,0.935118,0.00919502,0,0,0,0
260,35.4239,53.9822,1xOAI,0.294768,0.073692,0.930838,0.00832116,0,0,0,0
261,47.4561,53.3402,1xOAI,0.421252,0.105313,0.934364,0.00887667,0,0,0,0
262,37.7202,51.8492,1xOAI,0.309145,0.077286,0.932216,0.00819575,0,0,0,0
263,21.8436,50.444,1xOAI,0.208024,0.052006,0.920612,0.00952335,0,0,0,0
264,25.4533,48.8812,1xOAI,0.248161,0.06204,0.923783,0.00974966,0,0,0,0
265,17.1993,47.9559,1xOAI,0.185395,0.046349,0.921249,0.01077922,0,0,0,0
266,16.1957,48.2859,1xOAI,0.175548,0.043887,0.920836,0.01083918,0,0,0,0
267,21.9655,49.4472,1xOAI,0.209392,0.052348,0.92057,0.00953279,0,0,0,0
268,12.9416,50.9764,1xOAI,0.139238,0.034809,0.91819,0.01075889,0,0,0,0
269,10.3884,53.4649,1xOAI,0.107759,0.02694,0.91562,0.01037301,0,0,0,0
270,22.7167,56.3396,1xOAI,0.217609,0.054402,0.921212,0.00957925,0,0,0,0
271,17.237,59.667,1xOAI,0.185778,0.046445,0.921265,0.0107779,0,0,0,0
272,22.0827,63.2587,1xOAI,0.210718,0.052679,0.920566,0.00954219,0,0,0,0
273,30.2788,67.3402,2xOAI,0.329161,0.08229,0.920312,0.01087102,0,0,1,0
274,40.8504,71.6807,2xOAI,0.405352,0.101338,0.920788,0.00992284,0,0,0,0
275,46.8652,75.533,2xOAI,0.450261,0.112565,0.921915,0.00960758,0,0,0,0
276,45.9339,79.4105,2xOAI,0.440392,0.110098,0.921456,0.00958751,0,0,0,0
277,62.4067,83.4377,2xOAI,0.466862,0.116716,0.928071,0.00748096,0,0,0,0
278,67.5277,86.6911,2xOAI,0.538805,0.134701,0.929784,0.00797902,0,0,0,0
279,61.4025,89.0456,1xOAI,0.566428,0.141607,0.935804,0.00922484,0,0,1,0
280,59.7794,91.3725,1xOAI,0.552097,0.138024,0.935699,0.00923556,0,0,0,0
281,77.6492,93.8817,1xOAI,0.697489,0.174372,0.931909,0.00898256,0,0,0,0
282,88.1261,96.6309,1xOAI,0.798186,0.199546,0.929186,0.00905732,0,0,0,0
283,98.4357,99.0436,1xOAI,0.892799,0.2232,0.92708,0.00906988,0,0,0,0
284,92.4078,102.6691,1xOAI,0.836962,0.209241,0.928241,0.00905727,0,0,0,0
285,113.1638,106.3015,DPDK,0.820082,0.20502,0.974997,0.00724686,0,1,0,0
