t,rule_power,ff_power,ff_lower_or_equal,ff_vs_rule
383,0.631063103675842,0.5833022594451904,True,FF <= Rule
384,0.8737998604774472,0.4592337608337402,True,FF <= Rule
385,1.1624177694320676,0.5643596649169922,True,FF <= Rule
386,0.820445954799652,0.8624660968780518,False,FF > Rule
387,0.8205767273902892,0.8203269243240356,True,FF <= Rule
388,0.8206799030303952,0.8204459547996521,True,FF <= Rule
389,0.8204996585845944,0.8205767273902893,False,FF > Rule
390,0.8204768896102904,0.8206799030303955,False,FF > Rule
391,0.8200271129608152,0.8204996585845947,False,FF > Rule
392,0.8203252553939816,0.8204768896102905,False,FF > Rule
393,0.8199402093887328,0.8200271129608154,False,FF > Rule
394,0.8199410438537597,0.8203252553939819,False,FF > Rule
395,0.8196642398834229,0.8199402093887329,False,FF > Rule
396,0.8199521899223328,0.8199410438537598,True,FF <= Rule
397,0.8196226954460144,0.8196642398834229,False,FF > Rule
398,0.819642186164856,0.8199521899223328,False,FF > Rule
399,0.8198716640472412,0.8196226358413696,True,FF <= Rule
400,0.8195984959602356,0.819642186164856,False,FF > Rule
401,0.8196362257003784,0.8198716640472412,False,FF > Rule
402,0.8198885917663572,0.8195984959602356,True,FF <= Rule
403,0.8199059367179868,0.8196362257003784,True,FF <= Rule
404,0.8196253776550292,0.8198885917663574,False,FF > Rule
405,0.819626986980438,0.8199059367179871,False,FF > Rule
406,0.8196713328361508,0.8196253776550293,True,FF <= Rule
407,0.8195278644561768,0.8196269869804382,False,FF > Rule
408,0.819625914096832,0.8196712732315063,False,FF > Rule
409,0.82009357213974,0.8195278644561768,True,FF <= Rule
410,0.8197475671768188,0.8196259140968323,True,FF <= Rule
411,0.8196164369583128,0.8200935125350952,False,FF > Rule
412,0.8197475671768188,0.8197475671768188,True,FF <= Rule
413,0.8198158144950864,0.819616436958313,True,FF <= Rule
414,0.8202013373374936,0.8197475671768188,True,FF <= Rule
415,0.8202207088470456,0.8198158144950867,True,FF <= Rule
416,0.8200297355651855,0.8202013373374939,False,FF > Rule
417,0.8204271793365476,0.8202207088470459,True,FF <= Rule
418,0.8205558061599731,0.8200297355651855,True,FF <= Rule
419,0.820740222930908,0.8204271793365479,True,FF <= Rule
420,0.8208482265472412,0.8205558061599731,True,FF <= Rule
421,0.8208445310592648,0.8207402229309082,True,FF <= Rule
422,0.820781409740448,0.8208482265472412,False,FF > Rule
423,0.8210582733154296,0.8208445310592651,True,FF <= Rule
424,0.8209032416343688,0.820781409740448,True,FF <= Rule
425,0.8207768797874448,0.8210582733154297,False,FF > Rule
426,0.8208716511726376,0.8209031820297241,False,FF > Rule
427,0.8206210136413572,0.8207768797874451,False,FF > Rule
428,0.8207421898841856,0.8208716511726379,False,FF > Rule
429,0.8206163644790648,0.8206209540367126,False,FF > Rule
430,0.8200079798698424,0.8207421898841858,False,FF > Rule
431,0.8194769024848936,0.8206163644790649,False,FF > Rule
432,0.8206390738487244,0.8200079798698425,True,FF <= Rule
433,0.8206765055656432,0.8194769024848938,True,FF <= Rule
434,0.8206896185874936,0.8206390738487244,True,FF <= Rule
435,0.8205260038375852,0.8206765055656433,False,FF > Rule
436,0.8194081187248228,0.8206895589828491,False,FF > Rule
437,0.81920325756073,0.8205260038375854,False,FF > Rule
438,0.8193806409835812,0.819408118724823,False,FF > Rule
439,0.8192884922027588,0.81920325756073,True,FF <= Rule
440,0.2991344630718228,0.6186314225196838,False,FF > Rule
441,0.33157142996788,0.5609176158905029,False,FF > Rule
442,0.2265074998140332,0.2991344928741455,False,FF > Rule
